2025-03-03 19:06:53.1088 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7268 
2025-03-03 19:06:53.2307 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5101 
2025-03-03 19:06:53.3383 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2025-03-03 19:06:53.3550 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2025-03-03 19:06:53.3550 | INFO | Microsoft.Hosting.Lifetime | Content root path: C:\Users\swati\OneDrive\Desktop\HelloGreetingApp\HelloGreetingApp\ 
2025-03-03 19:06:55.0263 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7268/swagger/index.html - - 
2025-03-03 19:06:56.1622 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7268/swagger/index.html - - - 200 - text/html;charset=utf-8 1140.1002ms 
2025-03-03 19:06:56.3617 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7268/_framework/aspnetcore-browser-refresh.js - - 
2025-03-03 19:06:56.3617 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7268/_vs/browserLink - - 
2025-03-03 19:06:56.3617 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7268/swagger/index.js - - 
2025-03-03 19:06:56.3617 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7268/swagger/index.js - - - 200 - application/javascript;charset=utf-8 3.5348ms 
2025-03-03 19:06:56.3617 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7268/_framework/aspnetcore-browser-refresh.js - - - 200 12364 application/javascript;+charset=utf-8 11.3900ms 
2025-03-03 19:06:56.6089 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7268/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 246.7256ms 
2025-03-03 19:06:56.7598 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7268/swagger/v1/swagger.json - - 
2025-03-03 19:06:56.7714 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7268/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 11.6061ms 
2025-03-03 19:07:20.8563 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7268/HelloGreetingApp - - 
2025-03-03 19:07:21.0066 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'HelloGreetingApp.Controllers.HelloGreetingAppController.Get (HelloGreetingApp)' 
2025-03-03 19:07:21.0969 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "Get", controller = "HelloGreetingApp"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult Get() on controller HelloGreetingApp.Controllers.HelloGreetingAppController (HelloGreetingApp). 
2025-03-03 19:07:21.0969 | INFO | HelloGreetingApp.Controllers.HelloGreetingAppController | GET method called. 
2025-03-03 19:07:21.1232 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | Executing OkObjectResult, writing value of type 'ModelLayer.ResponseModel`1[[System.String, System.Private.CoreLib, Version=6.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]'. 
2025-03-03 19:07:21.1533 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action HelloGreetingApp.Controllers.HelloGreetingAppController.Get (HelloGreetingApp) in 39.9403ms 
2025-03-03 19:07:21.1646 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'HelloGreetingApp.Controllers.HelloGreetingAppController.Get (HelloGreetingApp)' 
2025-03-03 19:07:21.1758 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7268/HelloGreetingApp - - - 200 - application/json;+charset=utf-8 345.0900ms 
